Version,PartPrefix,PartBase,PartSuffix,PartRouteNumber,PartRouteStage,TriggerType,Strategy,TagID,ProductionDate,OutOfProductionDate,GeneralInstructions,PlacardInstructions,ExternalSegments,OverShipmentsAllowed,PartialShipmentsAllowed,RequiredDetailShipmentInformation,Hold,Archived,RequestPutAway
4.00.00v,CPLA,3B328,AC,146,Production,Manual,ReorderPoint,,4/16/16 15:07:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,3B329,AD,148,Production,Manual,ReorderPoint,,1/21/17 18:04:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,GPLA,114A57,BB,178,Production,Manual,ReorderPoint,,11/06/2018 19:58,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,2D300,BA,188,Production,Manual,ReorderPoint,,2/20/19 10:39:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,2D301,BA,190,Production,Manual,ReorderPoint,,1/14/19 13:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,406A76,EE,200,Production,Manual,ReorderPoint,,11/16/14 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,406A76,FE,202,Production,Manual,ReorderPoint,,6/30/14 19:29:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,406A77,EE,204,Production,Manual,ReorderPoint,,6/26/14 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,406A77,FE,206,Production,Manual,ReorderPoint,,6/26/14 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,253A10,AC,214,Production,Manual,ReorderPoint,,3/25/19 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,43712,AF,216,Production,Manual,ReorderPoint,,09/11/2018 20:14,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DPLA,5K898,AG,222,Production,Manual,ReorderPoint,,11/20/18 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DPLA,5K976,AG,224,Production,Manual,ReorderPoint,,4/27/18 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,20530,AD,241,Production,Manual,ReorderPoint,,3/25/19 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,20530,AD,243,Production,Manual,ReorderPoint,,3/25/19 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,25324,AD,245,Production,Manual,ReorderPoint,,03/11/2019 00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,25324,AD,247,Production,Manual,ReorderPoint,,03/11/2019 00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,18D487,BE,251,Production,Manual,ReorderPoint,,2/19/16 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,18D487,CE,253,Production,Manual,ReorderPoint,,2/19/16 12:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,19A834,DE,261,Production,Manual,ReorderPoint,,02/05/2019 00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,19N601,BF,265,Production,Manual,ReorderPoint,,6/26/14 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,19N601,CD,267,Production,Manual,ReorderPoint,,9/29/14 15:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,19N602,BE,269,Production,Manual,ReorderPoint,,9/30/14 19:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,14K159,AD,281,Production,Manual,ReorderPoint,,5/14/16 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,14K160,AD,283,Production,Manual,ReorderPoint,,5/14/16 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,FPLA,14F447,AC,287,Out_of_Production,Manual,ReorderPoint,,6/26/14 00:00:00,12/10/2015 00:00,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,25596,AB,299,Production,Manual,ReorderPoint,,5/14/16 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,25597,AB,301,Production,Manual,ReorderPoint,,5/14/16 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,208A96,AB,303,Production,Manual,ReorderPoint,,3/21/19 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,208A97,AB,305,Production,Manual,ReorderPoint,,5/14/16 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,255A60,AC,307,Production,Manual,ReorderPoint,,5/14/16 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
